workload,config,timestamp,avg_read_latency_0,controller_impl,domain_0_idle_turns,domain_0_reads,domain_0_turns_served,domain_0_writes,domain_1_idle_turns,domain_1_reads,domain_1_turns_served,domain_1_writes,domain_2_idle_turns,domain_2_reads,domain_2_turns_served,domain_2_writes,domain_3_idle_turns,domain_3_reads,domain_3_turns_served,domain_3_writes,flexprof_dyn_adaptation_events_0,flexprof_dyn_idle_turns_0,flexprof_dyn_read_turns_0,flexprof_dyn_total_turns_0,flexprof_dyn_write_turns_0,flexprof_static_idle_turns_0,flexprof_static_read_turns_0,flexprof_static_total_turns_0,flexprof_static_write_turns_0,memory_system_cycles,num_close_reqs,num_other_reqs_0,num_read_reqs_0,num_write_reqs_0,priority_queue_len_0,priority_queue_len_avg_0,queue_len_0,queue_len_avg_0,read_latency_0,read_queue_len_0,read_queue_len_avg_0,read_row_conflicts_0,read_row_conflicts_core_0,read_row_conflicts_core_1,read_row_conflicts_core_2,read_row_conflicts_core_3,read_row_conflicts_core_4,read_row_conflicts_core_5,read_row_conflicts_core_6,read_row_conflicts_core_7,read_row_hits_0,read_row_hits_core_0,read_row_hits_core_1,read_row_hits_core_2,read_row_hits_core_3,read_row_hits_core_4,read_row_hits_core_5,read_row_hits_core_6,read_row_hits_core_7,read_row_misses_0,read_row_misses_core_0,read_row_misses_core_1,read_row_misses_core_2,read_row_misses_core_3,read_row_misses_core_4,read_row_misses_core_5,read_row_misses_core_6,read_row_misses_core_7,row_conflicts_0,row_hits_0,row_misses_0,total_num_other_requests,total_num_read_requests,total_num_write_requests,total_read_latency_0,trace_num_domains,trace_total_entries,write_queue_len_0,write_queue_len_avg_0,write_row_conflicts_0,write_row_hits_0,write_row_misses_0
all_domains_combined,baseline,20260128_004202,3.49333334,Generic,,,,,,,,,,,,,,,,,,,,,,,,,,178,0,0,450,24,0,0,9220,51.7977524,1572,5934,33.3370781,14,0,2,6,3,1,2,0,0,3,2,0,0,1,0,0,0,0,8,5,3,0,0,0,0,0,0,14,3,8,0,56,24,,8,80,3286,18.4606743,0,0,0
all_domains_combined,dynamic,20260128_004202,,FlexProfDynamic,0,35,1,15,0,6,1,4,0,7,0,3,0,8,0,2,0,0,2,2,0,,,,,30,0,,56,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,56,24,0,8,80,,,,,
all_domains_combined,static,20260128_004202,,FlexProfStatic,,35,2,15,,6,0,4,,7,0,3,,8,0,2,,,,,,0,2,2,0,30,0,,56,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,56,24,0,8,80,,,,,
domain0,baseline,20260128_004202,0,Generic,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,22,10,0,0,145,12.083333,0,92,7.66666651,0,0,,,,,,,,0,0,,,,,,,,6,6,,,,,,,,0,0,6,0,22,10,,1,32,53,4.41666651,0,0,0
domain0,dynamic,20260128_004202,,FlexProfDynamic,0,22,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,12,0,,22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,10,0,1,32,,,,,
domain0,static,20260128_010656,,FlexProfStatic,,22,1,10,,0,0,0,,0,0,0,,0,0,0,,,,,,0,1,1,0,12,0,,22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,10,0,1,32,,,,,
domain1,baseline,20260128_004202,0,Generic,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,22,10,0,0,145,12.083333,0,92,7.66666651,0,0,0,,,,,,,0,0,0,,,,,,,6,0,6,,,,,,,0,0,6,0,22,10,,2,32,53,4.41666651,0,0,0
domain1,dynamic,20260128_010656,,FlexProfDynamic,0,0,1,0,0,22,0,10,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,12,0,,22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,10,0,2,32,,,,,
domain1,static,20260128_004202,,FlexProfStatic,,0,1,0,,22,0,10,,0,0,0,,0,0,0,,,,,,0,1,1,0,12,0,,22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,10,0,2,32,,,,,
domain2,baseline,20260128_010656,0,Generic,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,22,10,0,0,145,12.083333,0,92,7.66666651,0,0,0,0,,,,,,0,0,0,0,,,,,,6,0,0,6,,,,,,0,0,6,0,22,10,,3,32,53,4.41666651,0,0,0
domain2,dynamic,20260128_010656,,FlexProfDynamic,0,0,1,0,0,0,0,0,0,22,0,10,0,0,0,0,0,0,1,1,0,,,,,12,0,,22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,10,0,3,32,,,,,
domain2,static,20260128_004202,,FlexProfStatic,,0,1,0,,0,0,0,,22,0,10,,0,0,0,,,,,,0,1,1,0,12,0,,22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,10,0,3,32,,,,,
domain3,baseline,20260128_010656,0,Generic,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,22,10,0,0,145,12.083333,0,92,7.66666651,0,0,0,0,0,,,,,0,0,0,0,0,,,,,6,0,0,0,6,,,,,0,0,6,0,22,10,,4,32,53,4.41666651,0,0,0
domain3,dynamic,20260128_004202,,FlexProfDynamic,0,0,1,0,0,0,0,0,0,0,0,0,0,22,0,10,0,0,1,1,0,,,,,12,0,,22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,10,0,4,32,,,,,
domain3,static,20260128_010656,,FlexProfStatic,,0,1,0,,0,0,0,,0,0,0,,22,0,10,,,,,,0,1,1,0,12,0,,22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,10,0,4,32,,,,,
